Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
MMM,3M Company,Industrials,174.18,2.54,21.35,8.16,17.33,149.00,182.27,103.94,8.68,3.47,10.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
ABT,Abbott Laboratories,Health Care,42.75,2.54,45.62,0.94,14.11,36.02,45.79,62.94,5.00,2.99,3.00,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
ABBV,AbbVie,Health Care,60.89,4.19,16.77,3.63,3.98,51.60,68.12,98.95,11.11,3.86,15.30,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
ACN,Accenture plc,Information Technology,113.64,2.13,16.82,6.76,11.95,91.40,125.72,70.76,5.66,2.11,9.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
ATVI,Activision Blizzard,Information Technology,40.47,0.65,35.13,1.15,11.87,26.49,45.55,30.08,1.89,5.06,3.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ATVI
AYI,Acuity Brands Inc,Industrials,206.07,0.25,29.78,6.92,39.50,169.42,280.89,9.03,0.5862,2.65,5.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AYI
ADBE,Adobe Systems Inc,Information Technology,113.16,0.00,48.78,2.32,15.02,71.27,114.57,55.91,1.82,9.57,7.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
AAP,Advance Auto Parts,Consumer Discretionary,162.34,0.15,26.60,6.10,38.78,131.59,177.83,11.95,1.16,1.24,4.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAP
AES,AES Corp,Utilities,11.32,4.20,,-0.41,4.37,8.88,13.32,7.46,3.43,0.53,2.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AES
AET,Aetna Inc,Health Care,120.45,0.84,17.37,6.93,52.10,92.42,136.50,42.27,5.97,0.68,2.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
